threshold_label,threshold_slug,bin_lo,bin_hi,bin_centre,mass
<= 75,le75,240.0,245.0,242.5,621.5063118025796
<= 75,le75,245.0,250.0,247.5,561.9309444341242
<= 75,le75,250.0,255.0,252.5,624.8610538988896
<= 75,le75,255.0,260.0,257.5,503.88930002822195
<= 75,le75,260.0,265.0,262.5,319.79933098152276
<= 75,le75,265.0,270.0,267.5,330.6336045930518
<= 75,le75,270.0,275.0,272.5,370.6665197906932
<= 75,le75,275.0,280.0,277.5,353.2260020165553
<= 75,le75,280.0,285.0,282.5,367.79170329895817
<= 75,le75,285.0,290.0,287.5,303.2609676648941
<= 75,le75,290.0,295.0,292.5,548.6129418299789
<= 75,le75,295.0,300.0,297.5,660.4406281560014
<= 75,le75,300.0,305.0,302.5,693.0910730795488
<= 75,le75,305.0,310.0,307.5,820.1720599147991
<= 75,le75,310.0,315.0,312.5,712.9378277221733
<= 75,le75,315.0,320.0,317.5,644.7825798959857
<= 75,le75,320.0,325.0,322.5,654.8582313017246
<= 75,le75,325.0,330.0,327.5,544.3031397247701
<= 75,le75,330.0,335.0,332.5,506.97889384280757
<= 75,le75,335.0,340.0,337.5,540.7589308237849
<= 75,le75,340.0,345.0,342.5,514.8997433386462
<= 75,le75,345.0,350.0,347.5,519.6202417321601
<= 100,le100,-50.0,-45.0,-47.5,364.6310160729817
<= 100,le100,-45.0,-40.0,-42.5,425.3542505044911
<= 100,le100,-40.0,-35.0,-37.5,411.5641845438322
<= 100,le100,-35.0,-30.0,-32.5,365.80361505026326
<= 100,le100,-30.0,-25.0,-27.5,643.8217598247081
<= 100,le100,-25.0,-20.0,-22.5,734.9873647159116
<= 100,le100,-20.0,-15.0,-17.5,739.4265618096829
<= 100,le100,-15.0,-10.0,-12.5,820.7809382897435
<= 100,le100,-10.0,-5.0,-7.5,960.9256219974291
<= 100,le100,-5.0,0.0,-2.5,966.5339725580905
<= 100,le100,0.0,5.0,2.5,1919.8232432844627
<= 100,le100,5.0,10.0,7.5,2256.7721146750937
<= 100,le100,10.0,15.0,12.5,2256.310699300453
<= 100,le100,15.0,20.0,17.5,2216.7224496660865
<= 100,le100,20.0,25.0,22.5,2168.752421580066
<= 100,le100,25.0,30.0,27.5,2127.34642348124
<= 100,le100,30.0,35.0,32.5,2062.843376719248
<= 100,le100,35.0,40.0,37.5,2052.1656790706943
<= 100,le100,40.0,45.0,42.5,2230.3039180815126
<= 100,le100,45.0,50.0,47.5,2353.385446252635
<= 100,le100,50.0,55.0,52.5,2036.6370540758044
<= 100,le100,55.0,60.0,57.5,1923.4861442542513
<= 100,le100,60.0,65.0,62.5,1910.7133752329357
<= 100,le100,65.0,70.0,67.5,1995.2665812630269
<= 100,le100,70.0,75.0,72.5,2315.374099519737
