nb,na,n,width,category,env_overlap_frac,share_corpus,cum_n,cum_share_corpus
253,284,1,32,other,1.0,9.120259744997538e-06,109097,0.9949929773999964
253,275,1,23,other,1.0,9.120259744997538e-06,109098,0.9950020976597413
58,59,1,2,other,1.0,9.120259744997538e-06,109099,0.9950112179194863
57,58,1,2,other,1.0,9.120259744997538e-06,109100,0.9950203381792313
56,300,1,245,other,1.0,9.120259744997538e-06,109101,0.9950294584389764
56,57,1,2,other,1.0,9.120259744997538e-06,109102,0.9950385786987214
54,212,1,159,other,1.0,9.120259744997538e-06,109103,0.9950476989584663
54,150,1,97,other,1.0,9.120259744997538e-06,109104,0.9950568192182113
54,130,1,77,other,1.0,9.120259744997538e-06,109105,0.9950659394779563
54,90,1,37,other,1.0,9.120259744997538e-06,109106,0.9950750597377014
54,80,1,27,other,1.0,9.120259744997538e-06,109107,0.9950841799974464
54,74,1,21,other,1.0,9.120259744997538e-06,109108,0.9950933002571913
256,257,1,2,other,1.0,9.120259744997538e-06,109109,0.9951024205169363
255,272,1,18,other,1.0,9.120259744997538e-06,109110,0.9951115407766813
-51,20,1,72,bc_ad_boundary,0.9861,9.120259744997538e-06,109111,0.9951206610364263
-51,-30,1,22,other,0.9545,9.120259744997538e-06,109112,0.9951297812961714
-52,-30,1,23,other,0.913,9.120259744997538e-06,109113,0.9951389015559163
-52,-48,1,5,other,0.6,9.120259744997538e-06,109114,0.9951480218156613
-55,-43,1,13,other,0.6154,9.120259744997538e-06,109115,0.9951571420754063
-58,-21,1,38,other,0.7895,9.120259744997538e-06,109116,0.9951662623351513
-58,-27,1,32,other,0.75,9.120259744997538e-06,109117,0.9951753825948964
-59,100,1,160,bc_ad_boundary,0.9437,9.120259744997538e-06,109118,0.9951845028546413
17,19,1,3,other,1.0,9.120259744997538e-06,109119,0.9951936231143863
17,18,1,2,other,1.0,9.120259744997538e-06,109120,0.9952027433741313
16,150,1,135,other,1.0,9.120259744997538e-06,109121,0.9952118636338763
16,100,1,85,other,1.0,9.120259744997538e-06,109122,0.9952209838936212
259,288,1,30,other,1.0,9.120259744997538e-06,109123,0.9952301041533663
259,261,1,3,other,1.0,9.120259744997538e-06,109124,0.9952392244131113
259,260,1,2,other,1.0,9.120259744997538e-06,109125,0.9952483446728563
258,262,1,5,other,1.0,9.120259744997538e-06,109126,0.9952574649326013
258,259,1,2,other,1.0,9.120259744997538e-06,109127,0.9952665851923462
257,311,1,55,other,1.0,9.120259744997538e-06,109128,0.9952757054520913
257,261,1,5,other,1.0,9.120259744997538e-06,109129,0.9952848257118363
256,300,1,45,other,1.0,9.120259744997538e-06,109130,0.9952939459715813
256,270,1,15,other,1.0,9.120259744997538e-06,109131,0.9953030662313262
256,268,1,13,other,1.0,9.120259744997538e-06,109132,0.9953121864910712
55,63,1,9,other,1.0,9.120259744997538e-06,109133,0.9953213067508163
55,62,1,8,other,1.0,9.120259744997538e-06,109134,0.9953304270105613
51,270,1,220,other,1.0,9.120259744997538e-06,109135,0.9953395472703063
51,199,1,149,other,1.0,9.120259744997538e-06,109136,0.9953486675300512
262,264,1,3,other,1.0,9.120259744997538e-06,109137,0.9953577877897962
261,320,1,60,other,1.0,9.120259744997538e-06,109138,0.9953669080495412
261,285,1,25,other,1.0,9.120259744997538e-06,109139,0.9953760283092863
261,280,1,20,other,1.0,9.120259744997538e-06,109140,0.9953851485690313
261,270,1,10,other,1.0,9.120259744997538e-06,109141,0.9953942688287762
261,267,1,7,other,1.0,9.120259744997538e-06,109142,0.9954033890885212
261,262,1,2,other,1.0,9.120259744997538e-06,109143,0.9954125093482662
260,262,1,3,other,1.0,9.120259744997538e-06,109144,0.9954216296080113
