LIST-ID,EDCS-ID,EDH-ID,urban_context_city,pleiades_id,province_edcs,province_edh,province,most_common_province,most_common_count
464035,EDCS-05300147,HD010464,Tegianum,446234,Cappadocia,Latium et Campania (Regio I),Cappadocia,Bruttium et Lucania / Regio III,38.0
490173,EDCS-09400905,HD010404,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
490174,EDCS-09400907,HD010410,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
490175,EDCS-09400910,HD010419,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
490181,EDCS-09400946,HD010527,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
490182,EDCS-09400948,HD010533,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
490183,EDCS-09400947,HD010530,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
490184,EDCS-09400949,HD010539,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
490185,EDCS-09400950,HD010542,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
490187,EDCS-09400953,HD010551,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
490188,EDCS-09400954,HD010554,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
490190,EDCS-09400956,HD010560,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
490191,EDCS-09400957,HD010563,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
490194,EDCS-09400902,HD010392,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
490196,EDCS-09400911,HD010422,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
492269,EDCS-09400898,HD010374,Tegianum,446234,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Bruttium et Lucania / Regio III,38.0
516480,EDCS-09600350,HD010566,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
516590,EDCS-23801350,HD010386,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
517498,EDCS-00900620,HD010380,Tegianum,446234,Roma,Roma,Roma,Bruttium et Lucania / Regio III,38.0
517872,EDCS-01000371,HD010377,Tegianum,446234,Roma,Roma,Roma,Bruttium et Lucania / Regio III,38.0
517914,EDCS-01000416,HD010371,Tegianum,446234,Roma,Roma,Roma,Bruttium et Lucania / Regio III,38.0
518089,EDCS-09400923,HD010458,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518158,EDCS-09400930,HD010482,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518159,EDCS-09400901,HD010389,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
